,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
UGT2B7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PROX1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
IL10RA,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADPRHL1,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
PPP1R1A,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RGS5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GABRA4,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
RPL21,0.000631139846580899,0.002416339860014587,0.10612043435340572,0.024650209953127812,0.32574987891457047,0.32574987891457047,0.3257498789154343
GUCY1A3,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
SYNPO2L,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ESAM,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PIK3R6,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CLEC4F,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MTUS2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
AC008759.1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TFF1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYH7B,6.009010511261637e-06,0.0017220940037243556,0.4444444444444444,0.02293173030091272,5.326772339719574e-19,5.326772339719573e-19,4.1615589344894616e-18
RNASE3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NDRG2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HBM,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
OPN4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HLA-DRB1,4.7237499296862314e-05,0.0015416012563068706,0.12639623750734863,0.023175574221757245,0.003011451712396818,0.0030114517123968174,0.0030114520382531497
PIP5K1B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD86,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PLIN1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NMRK2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
LCP2,0.00017354356190440903,0.0026208021319080767,0.12654502648616833,0.023388308861655858,2.664865648868519e-10,2.6648656488685196e-10,4.915826141576835e-10
PARM1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADORA3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
OPN5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ALAS2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
LILRA1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TNNT3,0.0,0.0008546984425107895,0.1441985244802146,0.02270843368690129,6.360906963843884e-08,6.360906963843882e-08,8.582848825575119e-08
SELL,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
APLNR,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NKG7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RERGL,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ABRA,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PTGDS,5.007508759384698e-07,0.0020663373839671212,1.0,0.02268649720119367,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
PERM1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SAMSN1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ACSM5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ARHGEF15,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SIGLEC7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
BICC1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADRB1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FXYD1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADGRG3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ENO3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SYNM,0.0,0.0006271928095167464,0.1575091575091575,0.022482858932611455,1.602914538485779e-07,1.602914538485779e-07,1.7038589288346945e-07
ANO5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GPR22,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GPR146,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
VIP,2.503754379692349e-06,0.0020639563044270366,0.7142857142857142,0.022917992760792323,7.474719858701137e-24,7.474719858701137e-24,1.0163931198611007e-22
SPTB,0.00010716068745083253,0.0014505214595599471,0.1353052234109503,0.022691064839747695,1.785278131876447e-08,1.7852781318764462e-08,1.9054218699775882e-08
LRMP,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
JAML,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C4BPA,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CILP,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ITGA9,0.0,0.0007654833912803719,0.1050830889540567,0.022466442810434577,7.269790099031512e-12,7.269790099031512e-12,1.4697238633488333e-11
FGB,0.0,0.0013579342127452367,0.5714285714285714,0.022693328803323955,3.5517780927832716e-24,3.551778092783271e-24,4.973135566425202e-23
DEFA1B,0.0,0.0014158289678566091,1.0,0.0226910363162794,5.811971103625308e-26,5.811971103625309e-26,9.975358476763675e-25
BMP5,0.0,0.0009935641879699508,0.5,0.02246410303056299,8.752494930615323e-30,8.752494930615321e-30,2.2952058591413395e-28
P2RY14,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PDE3A,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PKHD1L1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TRAT1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FCGR1A,0.0006339506089381027,0.002881896514316932,0.14527027027027029,0.023378974400644733,3.87604304279228e-09,3.876043042792279e-09,5.981293817122194e-09
CEACAM4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD300LF,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
LCN10,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SCGB1D2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
