,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
OR1F1,-3.15815347278689,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.250241278887366
EIF4A1P5,-3.15771032610116,,,,,,,,,4.15771032610116
MTND6P4,-3.1564157909708,,,,,,,,,4.1564157909708
C10ORF99,-3.15586711443283,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.247904286104788
ARSI,-3.1548083945010497,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.246822119420397
CAPN13,-3.15297136286075,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.244944404285706
MXD3,-3.15293247499816,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.244904655199984
PHGDH,-3.15199910197047,0.0023575511086423415,0.0018067097850881383,0.1677644323905463,0.02286021625565659,3.763166952306811e-07,3.7631669523068095e-07,3.7634156556806885e-07,0.00020495438090098055,4.981095586468379
FTH1P4,-3.1518898730546403,,,,,,,,,4.151889873054641
OR5H5P,-3.15136043374026,,,,,,,,,4.15136043374026
LRRK1,-3.1507883821961005,0.0005392541128180997,0.0012061151740209465,0.23817381738173815,0.022925963501314747,9.214678857851107e-05,9.214678857851105e-05,9.214833183265608e-05,0.0002524817694627146,5.2691883775250306
GPR139,-3.14925575516542,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.241146509545601
RP11-432B6.3,-3.1489364291060298,,,,,,,,,4.14893642910603
PTPRF,-3.1477287299121,0.0002318709879274023,0.0011041806504591997,0.19853278312700595,0.022646164290326502,1.9051488997466628e-05,1.9051488997466625e-05,1.9051858183880886e-05,0.0002039966501491066,5.0918901674146095
RPL23AP31,-3.1459592153420095,,,,,,,,,4.1459592153420095
TMEFF1,-3.1446444877592796,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.23643311952625
NUDT11,-3.1440041871566002,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.23577863862019
GALNT3,-3.1440009865357403,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.235775367117349
PCDH18,-3.1429295266734303,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.234680178359825
FGFR4,-3.14265689983881,0.00022216647195803446,0.002315038835460235,0.15076601671309192,0.02330948347009697,9.099302116977237e-08,9.099302116977237e-08,9.10040608913035e-08,0.00046653459250649656,4.89301333590728
ITGA2,-3.14187557388369,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.233602884392137
RFX8,-3.1406834450753904,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.232384354315279
EIF4A1P4,-3.13903474143335,,,,,,,,,4.13903474143335
CUZD1,-3.13664061818664,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.228251993680102
CDT1,-3.1363313422684698,0.00038932629177167166,0.0016007265323552252,0.26210653753026636,0.024909978330931507,0.0060707131567883845,0.006070713156788383,0.006070744004936908,0.0009635968527289652,5.4646777366040915
CTD-2192J16.24,-3.13512184689647,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.226699587191763
CATSPER4,-3.1334722174593597,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.464662280905564
LL0XNC01-16G2.1,-3.13301396362775,,,,,,,,,4.13301396362775
HSPA8P9,-3.13165964042667,,,,,,,,,4.13165964042667
AC009065.1,-3.1298267118913503,,,,,,,,,4.129826711891351
EEF1A1P16,-3.1297970264995896,,,,,,,,,4.12979702649959
DMRTB1,-3.1296986734232997,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.221156310372114
SLC35F3,-3.12947173002226,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.22092434100942
RP11-544O24.2,-3.12647749034962,,,,,,,,,4.12647749034962
EPHX3,-3.1244455868997,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.215786887302406
CGB5,-3.12408353676813,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.445435827422017
IFNA13,-3.1198382021596096,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.43674208960547
GPR151,-3.1194417958389105,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.210672280673122
APBA2,-3.11875737457334,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.209972701993761
FAM19A3,-3.11856806523427,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.209779200149094
GAD1,-3.11848639272392,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.209695718893023
CNN2P10,-3.1161783840907598,,,,,,,,,4.11617838409076
KCNU1,-3.11513283511842,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.206267892320651
KIAA0101,-3.11077879158915,0.0,0.00033087100257338015,0.21990858303707464,0.022261591920372387,0.0007984957751399511,0.000798495775139951,0.0007984985903444171,0.00010654754614595342,5.140949210786324
CLDN7,-3.1097725573422403,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.200788904106358
RPSAP29,-3.1083810493284,,,,,,,,,4.1083810493284005
EEF1A1P42,-3.10827820996606,,,,,,,,,4.10827820996606
