,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
GGTLC4P,1.82894591230773,,,,,,,,,2.82894591230773
IL16,1.82801025878497,,,,,,,,,2.8280102587849703
AC234582.1,1.82636936413952,,,,,,,,,2.82636936413952
ITIH5,1.8261037512255702,,,,,,,,,2.8261037512255704
LINC00116,1.8253455247091999,,,,,,,,,2.8253455247092
HOXA9,1.8251460882183101,,,,,,,,,2.82514608821831
GOLGA5,1.82508747400628,,,,,,,,,2.82508747400628
RP11-365D23.4,1.8250609437365402,,,,,,,,,2.82506094373654
ABHD5,1.82466266202633,,,,,,,,,2.8246626620263298
QPCT,1.8246548810351797,,,,,,,,,2.8246548810351797
SEMA5A,1.82413534390781,,,,,,,,,2.82413534390781
TPRA1,1.82403719571199,,,,,,,,,2.8240371957119903
SUCLG2,1.82342635915933,,,,,,,,,2.8234263591593303
RTP3,1.82293672635117,,,,,,,,,2.8229367263511698
ERG,1.82243002991854,,,,,,,,,2.8224300299185403
RP11-564P9.1,1.82234754615532,,,,,,,,,2.82234754615532
C1QTNF9B,1.8216229870002498,,,,,,,,,2.82162298700025
PDLIM1,1.82150063492197,,,,,,,,,2.82150063492197
YIF1B,1.82097363446897,,,,,,,,,2.82097363446897
CTD-2313D3.1,1.8208499464976498,,,,,,,,,2.82084994649765
RGMB,1.8194466360783899,,,,,,,,,2.81944663607839
TOM1,1.8194178258777698,,,,,,,,,2.81941782587777
RP11-553P9.1,1.8187731164946002,,,,,,,,,2.8187731164946
TMEM104,1.81817369752753,,,,,,,,,2.8181736975275298
PNLIPRP3,1.81785279524907,,,,,,,,,2.81785279524907
PGM1,1.81720738458798,,,,,,,,,2.81720738458798
VAT1,1.81435684246369,,,,,,,,,2.81435684246369
ANXA8,1.81280132144963,,,,,,,,,2.81280132144963
TP53I3,1.8127847646289799,,,,,,,,,2.81278476462898
TMEM244,1.8123288236164998,,,,,,,,,2.8123288236165
SZRD1,1.81229031593025,,,,,,,,,2.81229031593025
SHKBP1,1.81188254417421,,,,,,,,,2.81188254417421
EDEM2,1.81184616662954,,,,,,,,,2.81184616662954
HSPD1P11,1.81184418265197,,,,,,,,,2.81184418265197
LRRFIP1,1.80968478066527,,,,,,,,,2.80968478066527
GCSAM,1.8095598986021701,,,,,,,,,2.80955989860217
FKBP9P1,1.80931151420449,,,,,,,,,2.8093115142044898
BTN3A1,1.80919512224221,,,,,,,,,2.80919512224221
ARPC2,1.8088181342392298,,,,,,,,,2.80881813423923
SLC35D1,1.80833274668797,,,,,,,,,2.80833274668797
MTSS1L,1.80774541043707,,,,,,,,,2.80774541043707
BTF3L4P4,1.80735292333891,,,,,,,,,2.80735292333891
RP11-196G11.1,1.80714034493215,,,,,,,,,2.80714034493215
CTSC,1.80710024779596,,,,,,,,,2.80710024779596
APOBEC3G,1.8069265434239599,,,,,,,,,2.80692654342396
AVEN,1.8066448407938303,,,,,,,,,2.8066448407938305
IL20,1.8045922805349401,,,,,,,,,2.80459228053494
SHB,1.80355899019356,,,,,,,,,2.80355899019356
ANKRD35,1.80327142400801,,,,,,,,,2.80327142400801
RAI14,1.80314687599936,,,,,,,,,2.80314687599936
NACC2,1.8029204915743997,,,,,,,,,2.8029204915743997
GM2A,1.80285256408297,,,,,,,,,2.8028525640829702
LCE1E,1.80276724967591,,,,,,,,,2.80276724967591
LZTS2,1.80218566275024,,,,,,,,,2.80218566275024
MFSD5,1.80204913701132,,,,,,,,,2.80204913701132
CCDC190,1.80182043221697,,,,,,,,,2.80182043221697
SCO2,1.80160957021307,,,,,,,,,2.80160957021307
HSPA8P1,1.8005015537167701,,,,,,,,,2.80050155371677
SHCBP1,1.8001746922386201,,,,,,,,,2.8001746922386204
CTTN,1.79864342382436,,,,,,,,,2.79864342382436
CXCL11,1.79853233080249,,,,,,,,,2.79853233080249
RP11-297K7.1,1.79850209554344,,,,,,,,,2.79850209554344
RRAGA,1.7976031462596398,,,,,,,,,2.7976031462596396
TRDN,1.7972121566476398,,,,,,,,,2.79721215664764
PCDHGB2,1.7970586772409698,,,,,,,,,2.79705867724097
UGCG,1.79652004265827,,,,,,,,,2.79652004265827
RP11-572P18.1,1.79645498450925,,,,,,,,,2.79645498450925
PSME2P2,1.7961096753755301,,,,,,,,,2.79610967537553
IL17RE,1.7957320175471598,,,,,,,,,2.79573201754716
YBX3,1.7956712374570802,,,,,,,,,2.7956712374570802
SLC40A1,1.79457241772316,,,,,,,,,2.7945724177231597
CASP7,1.79431326242576,,,,,,,,,2.79431326242576
CCPG1,1.7936987392830699,,,,,,,,,2.79369873928307
FICD,1.79351645182128,,,,,,,,,2.7935164518212803
MYO9B,1.7932885014804398,,,,,,,,,2.79328850148044
ZC3HAV1,1.7930619916941002,,,,,,,,,2.7930619916941
PLAC1,1.7923121163312599,,,,,,,,,2.79231211633126
EHD1,1.7921277856785602,,,,,,,,,2.7921277856785602
CT45A10,1.79036686193011,,,,,,,,,2.79036686193011
LPIN3,1.7892728943303502,,,,,,,,,2.78927289433035
CNTNAP1,1.78917462040665,,,,,,,,,2.78917462040665
FGF4,1.7891118059247801,,,,,,,,,2.7891118059247804
EIF3FP3,1.7882683624406401,,,,,,,,,2.78826836244064
C2CD2,1.7875208817756798,,,,,,,,,2.78752088177568
RP11-53I6.1,1.78692491278734,,,,,,,,,2.78692491278734
CD3G,1.78611151861229,,,,,,,,,2.78611151861229
TBX20,1.785996675904,,,,,,,,,2.7859966759040002
SENP3-EIF4A1,1.78565126105827,,,,,,,,,2.7856512610582698
CBX7,1.7849433078548602,,,,,,,,,2.78494330785486
ARF4,1.78464398742598,,,,,,,,,2.78464398742598
SBDS,1.7842032072207001,,,,,,,,,2.7842032072207
ADCY3,1.7840888221381501,,,,,,,,,2.78408882213815
GOLGA2,1.78405709563752,,,,,,,,,2.78405709563752
RHOQ,1.78386194703114,,,,,,,,,2.78386194703114
TWF1,1.78359399958182,,,,,,,,,2.7835939995818197
ZFP36L2,1.7835846739791203,,,,,,,,,2.7835846739791203
CEACAMP10,1.78331663519479,,,,,,,,,2.7833166351947902
TRAK2,1.7826375600314,,,,,,,,,2.7826375600314
MINK1,1.7818832398796698,,,,,,,,,2.7818832398796696
ZNF444P1,1.77942772872566,,,,,,,,,2.77942772872566
NEK6,1.77846077058173,,,,,,,,,2.77846077058173
RDH10,1.7782064746864399,,,,,,,,,2.77820647468644
BORCS8-MEF2B,1.778081788595,,,,,,,,,2.778081788595
ZBTB7A,1.77807926305707,,,,,,,,,2.7780792630570703
NUCB2,1.77768381901926,,,,,,,,,2.77768381901926
AK3P5,1.77690248628097,,,,,,,,,2.77690248628097
RPL23AP69,1.7762684402619902,,,,,,,,,2.7762684402619904
HNRNPA1P33,1.77626373963184,,,,,,,,,2.77626373963184
AP5B1,1.7759330628960601,,,,,,,,,2.77593306289606
SCAMP2,1.7750206128958401,,,,,,,,,2.7750206128958403
SPINT1,1.77482026118757,,,,,,,,,2.7748202611875703
S100P,1.77474382137126,,,,,,,,,2.77474382137126
GALNT4,1.77446593979841,,,,,,,,,2.77446593979841
RAB43P1,1.77427792235356,,,,,,,,,2.7742779223535603
UGDH,1.7739292386793202,,,,,,,,,2.77392923867932
EEF1A1P6,1.77262825030597,,,,,,,,,2.77262825030597
VIMP,1.77180485323206,,,,,,,,,2.77180485323206
SEC14L2,1.77156729915906,,,,,,,,,2.7715672991590603
NPM3,1.7710339271371298,,,,,,,,,2.77103392713713
XKR8,1.77102735897238,,,,,,,,,2.77102735897238
NEUROD2,1.7704738943863703,,,,,,,,,2.7704738943863703
ADI1,1.7699232377266698,,,,,,,,,2.76992323772667
HIF1A,1.76963610785669,,,,,,,,,2.76963610785669
WFS1,1.76950292540618,,,,,,,,,2.7695029254061803
EEA1,1.76809173371768,,,,,,,,,2.76809173371768
TOR1A,1.76700013632508,,,,,,,,,2.76700013632508
EVI2B,1.7668375273259398,,,,,,,,,2.76683752732594
GKN1,1.7662781134991101,,,,,,,,,2.7662781134991103
NPTX1,1.76624780020856,,,,,,,,,2.7662478002085598
PHF19,1.7657618624810503,,,,,,,,,2.7657618624810505
RPS2P45,1.7657245451122499,,,,,,,,,2.76572454511225
SLC35F5,1.7656953951362198,,,,,,,,,2.7656953951362198
TNFAIP8L3,1.7652175239760801,,,,,,,,,2.76521752397608
CALML6,1.7646686317120301,,,,,,,,,2.76466863171203
CORO1B,1.7643062322924299,,,,,,,,,2.76430623229243
