,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
MCCD1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LINGO2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CLDN23,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PPIA,0.00022441596631469354,0.0011454513360729204,0.2012081784386617,0.022662849531514227,5.846806977414927e-06,5.846806977414925e-06,5.847056279934206e-06
TRIB3,0.0,0.000354807398352604,0.21585244267198403,0.022206133002767005,7.18611233448832e-05,7.18611233448832e-05,7.186218443168296e-05
ALOXE3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
NNMT,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PDYN,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
OR5B21,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ERCC2,0.0,0.0003326174695427056,0.23494302767227346,0.022269902101803796,0.0007689112507899202,0.0007689112507899199,0.000768914867741466
PPAT,1.0015017518769395e-06,0.001549126679834223,0.75,0.022409372696048334,1.0653312424302703e-31,1.0653312424302703e-31,2.2529713730918354e-29
MSANTD3-TMEFF1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CABLES1,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
MOV10L1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CRB1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
OTUB2,0.0,0.00027651448427718037,0.1925300133392619,0.02226154191082301,0.005402069337662314,0.005402069337662314,0.005402069364772456
SLC38A2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ZFHX2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SHC1,0.0009327779008274082,0.002670921881395136,0.23726027397260271,0.02410543496989141,5.16427908664232e-05,5.16427908664232e-05,5.164368289916741e-05
PLPP2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
DDR2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PCNA,0.008061318527242182,0.005717988776343148,0.2817176317501627,0.02981879286552851,0.018788646182695837,0.018788646182695837,0.01878868118479535
CRYBA4,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
MAP7,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
MIS18A,0.0,0.00026477624572830477,0.17074132492113564,0.022209004588488884,0.0027487482483066865,0.002748748248306686,0.0027487481547090477
VAT1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FSTL1,0.0,0.000646530129270232,0.43478260869565216,0.022198666770089054,2.7370425417969046e-25,2.7370425417969055e-25,1.7840527065584916e-23
SLC2A6,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
DZIP1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ATP6V0E1,0.0,0.0004964615922399759,0.16174822562570043,0.022190457502455522,0.00023041388768702987,0.00023041388768702987,0.0002304138899810209
ADAM33,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SLC7A14,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
ZAR1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
DCBLD1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
SLC52A2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
C4ORF22,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
MYDGF,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CHST4,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
WNT7B,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PITPNM3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TTC39C,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
PDIA4,0.0,0.00046164785672285903,0.18277754326720133,0.02219286974286785,3.5894244911104416e-05,3.589424491110441e-05,3.5894518839546215e-05
ST6GALNAC5,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
