,Unnamed: 0.1,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean,description
41,41,41,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.694081484276621, 'betweenness': 8.919984597070886, 'pagerank': 5.74943181677872, 'closeness': 9.134577602437348, 'katz': 3.2713003135413077, 'eigenvector': 3.43187435826782, 'eigentrust': 6.96447831137736}",0.13314684795643109,0.0,0.7239506562300874,0.7566833725333193,0.032732716303231935,bayes_7_metrics_alpha_00001
42,42,42,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.11972191634244, 'betweenness': 8.219449756041382, 'pagerank': 5.191388907327828, 'closeness': 6.152396654724457, 'katz': 7.9379551945169915, 'eigenvector': 5.671104647176502, 'eigentrust': 7.5982827275876}",0.1317319713406304,0.0,0.7208694213747872,0.7585639436964037,0.03769452232161652,bayes_7_metrics_alpha_00001
43,43,43,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.6345156619768737, 'betweenness': 4.0842001715795355, 'pagerank': 8.306728279484858, 'closeness': 1.613884135750337, 'katz': 9.845354023574005, 'eigenvector': 1.7166346992842714, 'eigentrust': 4.401317613952899}",0.1317551660392501,0.0,0.755270137226678,0.7837251217376472,0.028454984510969172,bayes_7_metrics_alpha_00001
44,44,44,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.106548460396935, 'betweenness': 8.874654804603082, 'pagerank': 3.0253596203267614, 'closeness': 7.195719271473489, 'katz': 5.201920204869757, 'eigenvector': 2.4487429313404787, 'eigentrust': 6.125449714708381}",0.1332558630399436,0.0,0.7397622025416813,0.7715534815809337,0.031791279039252385,bayes_7_metrics_alpha_00001
45,45,45,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.998021706696263, 'betweenness': 6.332606818892171, 'pagerank': 2.7366645881720157, 'closeness': 3.8104285393172526, 'katz': 3.3140646440397656, 'eigenvector': 9.186719724564014, 'eigentrust': 9.246749981215157}",0.135206537193859,0.0,0.743690606021067,0.7809788649835344,0.03728825896246746,bayes_7_metrics_alpha_00001
46,46,46,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.7426384644077455, 'betweenness': 5.496257536109974, 'pagerank': 6.550165604397126, 'closeness': 7.557271011771366, 'katz': 8.665046874427302, 'eigenvector': 3.2323020253950765, 'eigentrust': 2.8737499456791236}",0.1314304402585745,0.0,0.7343717425217882,0.7649232274982604,0.0305514849764722,bayes_7_metrics_alpha_00001
47,47,47,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.5962560856637396, 'betweenness': 3.1029952531532503, 'pagerank': 5.896091069325443, 'closeness': 1.9177053348321769, 'katz': 2.3740447968384695, 'eigenvector': 5.294268883448042, 'eigentrust': 5.642713152716769}",0.13630596590843197,0.0,0.7667275542133792,0.7915453242956281,0.024817770082248836,bayes_7_metrics_alpha_00001
48,48,48,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.06766425399457, 'betweenness': 6.887236122736699, 'pagerank': 1.2009738519262556, 'closeness': 2.300909861121938, 'katz': 5.674166419294297, 'eigenvector': 2.9984422581993044, 'eigentrust': 7.763750354217195}",0.1353387469759912,0.0,0.7612141559150455,0.7865968656569545,0.025382709741909038,bayes_7_metrics_alpha_00001
49,49,49,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.548253922182639, 'betweenness': 3.9192621375356786, 'pagerank': 8.437662978664072, 'closeness': 8.856301387601, 'katz': 8.799474467498616, 'eigenvector': 5.845965333350893, 'eigentrust': 8.602386468418626}",0.13144435707774632,0.0,0.7180343705612428,0.7524569884657374,0.034422617904494635,bayes_7_metrics_alpha_00001
50,50,50,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.196537355624251, 'betweenness': 8.687038994528848, 'pagerank': 1.3111409788447084, 'closeness': 1.8886906163831352, 'katz': 6.492167313819667, 'eigenvector': 7.331652893373876, 'eigentrust': 6.861738991068919}",0.13539209478281644,0.0,0.7439702993338616,0.7756470561554641,0.031676756821602536,bayes_7_metrics_alpha_00001
51,51,51,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.054128459024982, 'betweenness': 9.612710088790205, 'pagerank': 9.218287048245799, 'closeness': 8.742322713394355, 'katz': 9.813388706588432, 'eigenvector': 6.923409377133765, 'eigentrust': 8.581039571885409}",0.12909705357743437,0.0,0.7151211622435711,0.7588932609312481,0.04377209868767695,bayes_7_metrics_alpha_00001
