,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust
AQP1,-1.0370080600333542,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CD14,-1.0368793091935622,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MROH7-TTC4,-1.0363069170496968,,,,,,,,
AF011889.5,-1.0355680596590253,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
F11,-1.035239526006826,-0.1636552691787419,0.58027872201501,-0.4598839272774429,0.14575574925002432,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,0.34112496193463154
FSD2,-1.0349837890476719,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
UBXN10,-1.0341955854744973,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SHE,-1.0327580871253441,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MEF2C,-1.031299498755275,0.3209642359735601,2.643889919995738,-0.9607718659468341,0.6866000120963585,-0.11239015367228294,-0.11239015367228294,-0.11239018540704851,0.7327605231905334
AL691477.1,-1.030741408669847,,,,,,,,
TMIGD3,-1.0307043385756363,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
PTGDR,-1.0299442040442652,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
TRGV1,-1.0290029837831378,,,,,,,,
MS4A6E,-1.02787690033425,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RPL4,-1.027038493191542,1.7157153311898634,3.8068675585343152,-0.9498892381513456,3.3299280419571136,16.10152778832778,16.10152778832778,16.101527813758633,7.284159126750356
SPOCK2,-1.0269774223931483,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
GRIA2,-1.025755032948974,-0.15798056771325825,1.8310741484692794,0.503260042820104,0.4215058232303095,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,2.3544285779558694
RARRES1,-1.0255310966516775,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
AQP4,-1.02469418527183,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MURC,-1.0246347576033414,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
VN1R28P,-1.0241667797336451,,,,,,,,
ITM2A,-1.023828067310836,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CORIN,-1.023358182671821,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SDAD1P4,-1.020936866384103,,,,,,,,
